date,product,region,quantity,unit_price,revenue
2024-02-10,Tablet,North America,38,499.99,2846.07
2024-02-11,Headset,Asia,38,199.99,1962.4
2024-02-12,Phone,South America,45,99.99,4690.61
2024-02-13,Webcam,Europe,8,29.99,3598.19
2024-02-14,Monitor,Asia,27,29.99,5878.2
2024-02-15,Monitor,North America,27,49.99,869.57
2024-02-16,Webcam,Europe,34,99.99,9746.51
2024-02-17,Headset,Europe,21,199.99,9863.49
2024-02-18,Mouse,Europe,30,499.99,7011.8
2024-02-19,Mouse,Asia,33,499.99,5407.35
2024-02-20,Headset,North America,28,199.99,3164.32
2024-02-21,Mouse,Europe,47,999.99,8156.57
2024-02-22,Tablet,South America,33,799.99,6878.84
2024-02-23,Monitor,Europe,5,49.99,1709.91
2024-02-24,Headset,Europe,48,499.99,9118.18
2024-02-25,Monitor,Asia,19,99.99,8243.12
2024-02-26,Webcam,Asia,4,49.99,9503.02
2024-02-27,Laptop,North America,35,99.99,7284.62
2024-02-28,Tablet,South America,49,999.99,6172.81
2024-02-29,Keyboard,Asia,17,29.99,4240.61
2024-03-01,Tablet,Europe,44,49.99,9334.01
2024-03-02,Headset,North America,28,499.99,8674.03
2024-03-03,Keyboard,Europe,30,49.99,547.66
2024-03-04,Laptop,Europe,29,49.99,361.03
2024-03-05,Headset,Asia,46,49.99,3826.99
2024-03-06,Phone,North America,6,799.99,8124.48
2024-03-07,Monitor,South America,35,49.99,9874.03
2024-03-08,Laptop,South America,41,99.99,1589.13
2024-03-09,Monitor,Asia,37,29.99,5981.89
2024-03-10,Mouse,Asia,24,999.99,3870.82
2024-03-11,Phone,North America,29,199.99,9702.15
2024-03-12,Phone,South America,49,49.99,8436.98
2024-03-13,Laptop,South America,46,499.99,8399.45
2024-03-14,Phone,South America,31,49.99,4740.06
2024-03-15,Keyboard,Europe,35,499.99,4206.71
2024-03-16,Phone,South America,33,99.99,2806.73
2024-03-17,Monitor,Europe,21,499.99,658.12
2024-03-18,Monitor,North America,32,199.99,8660.75
2024-03-19,Headset,Europe,23,29.99,8147.72
2024-03-20,Monitor,North America,33,499.99,9997.2
2024-03-21,Headset,South America,3,499.99,9966.7
2024-03-22,Monitor,South America,18,29.99,5598.77
2024-03-23,Keyboard,North America,25,199.99,7712.98
2024-03-24,Webcam,Asia,42,49.99,9453.18
2024-03-25,Headset,North America,31,499.99,8511.51
2024-03-26,Tablet,Asia,3,29.99,2548.75
2024-03-27,Mouse,Europe,40,99.99,4560.39
2024-03-28,Laptop,Europe,46,29.99,1378.68
2024-03-29,Monitor,Europe,24,99.99,9545.11
2024-03-30,Phone,South America,32,199.99,6101.13
2024-03-31,Webcam,Europe,47,49.99,2363.56
2024-04-01,Monitor,Asia,22,29.99,6749.84
2024-04-02,Phone,Europe,23,999.99,6219.47
2024-04-03,Mouse,North America,2,999.99,3645.81
2024-04-04,Mouse,North America,27,799.99,1224.22
2024-04-05,Mouse,South America,42,499.99,6748.57
2024-04-06,Phone,North America,2,199.99,5251.05
2024-04-07,Monitor,Asia,26,29.99,7745.95
2024-04-08,Mouse,Europe,17,999.99,5249.62
2024-04-09,Keyboard,South America,40,499.99,8536.6
2024-04-10,Headset,Europe,33,999.99,5563.88
2024-04-11,Phone,Europe,9,29.99,5653.29
2024-04-12,Phone,Asia,43,99.99,8778.87
2024-04-13,Monitor,North America,48,29.99,4094.48
2024-04-14,Phone,North America,39,799.99,1426.75
2024-04-15,Phone,Europe,29,29.99,384.95
2024-04-16,Mouse,South America,42,29.99,7575.86
2024-04-17,Monitor,North America,26,799.99,6241.06
2024-04-18,Mouse,South America,35,199.99,7070.39
2024-04-19,Headset,North America,25,29.99,2208.35
2024-04-20,Webcam,South America,24,799.99,1450.08
2024-04-21,Headset,Asia,13,499.99,243.99
2024-04-22,Webcam,South America,7,99.99,3570.82
2024-04-23,Mouse,Asia,36,99.99,5940.19
2024-04-24,Headset,Asia,45,29.99,3983.22
2024-04-25,Monitor,South America,20,199.99,4431.0
2024-04-26,Laptop,Asia,1,199.99,9051.17
2024-04-27,Mouse,Europe,8,499.99,3547.73
2024-04-28,Webcam,Asia,46,29.99,5188.5
2024-04-29,Keyboard,North America,16,99.99,7858.16
2024-04-30,Webcam,South America,14,199.99,4025.77
2024-05-01,Keyboard,Europe,12,29.99,6258.66
2024-05-02,Phone,South America,23,999.99,8637.4
2024-05-03,Headset,North America,15,199.99,9500.25
2024-05-04,Keyboard,North America,28,799.99,1556.03
2024-05-05,Webcam,North America,34,999.99,9273.22
2024-05-06,Phone,Asia,2,199.99,4971.95
2024-05-07,Laptop,Asia,32,99.99,2656.62
2024-05-08,Monitor,South America,23,49.99,4645.44
2024-05-09,Monitor,South America,22,999.99,9802.32
2024-05-10,Monitor,Europe,25,499.99,4976.92
2024-05-11,Keyboard,Europe,22,499.99,3354.64
2024-05-12,Laptop,South America,22,99.99,6370.67
2024-05-13,Keyboard,Asia,49,199.99,2477.44
2024-05-14,Headset,North America,42,29.99,851.05
2024-05-15,Keyboard,South America,6,199.99,1375.91
2024-05-16,Laptop,Europe,15,99.99,1367.65
2024-05-17,Laptop,Asia,43,499.99,1603.84
2024-05-18,Headset,South America,37,199.99,1474.39
2024-05-19,Laptop,South America,33,499.99,6444.66
2024-05-20,Webcam,Asia,8,999.99,1900.61
2024-05-21,Laptop,South America,44,29.99,3522.11
2024-05-22,Monitor,Asia,44,999.99,8978.21
2024-05-23,Webcam,North America,5,499.99,4792.22
2024-05-24,Webcam,Asia,39,499.99,6708.82
2024-05-25,Headset,Asia,4,49.99,1805.97
2024-05-26,Tablet,Asia,6,49.99,2003.66
2024-05-27,Tablet,South America,45,999.99,504.6
2024-05-28,Laptop,South America,32,799.99,1772.46
2024-05-29,Webcam,Asia,30,999.99,2858.04
2024-05-30,Tablet,South America,47,49.99,1852.4
2024-05-31,Tablet,Europe,35,499.99,978.16
2024-06-01,Laptop,Europe,40,99.99,1294.3
2024-06-02,Tablet,South America,16,999.99,4661.71
2024-06-03,Keyboard,South America,13,499.99,2142.7
2024-06-04,Phone,Asia,42,99.99,3706.27
2024-06-05,Headset,North America,30,99.99,5083.83
2024-06-06,Phone,South America,19,49.99,6934.91
2024-06-07,Laptop,Europe,17,999.99,489.19
2024-06-08,Monitor,Asia,19,199.99,8014.16
2024-06-09,Headset,South America,28,29.99,6316.21
2024-06-10,Laptop,Europe,26,49.99,909.41
2024-06-11,Webcam,Europe,37,49.99,8748.43
2024-06-12,Monitor,North America,26,199.99,9216.64
2024-06-13,Phone,Asia,23,29.99,704.67
2024-06-14,Laptop,Asia,9,499.99,2841.09
2024-06-15,Webcam,North America,12,799.99,8081.39
2024-06-16,Headset,North America,1,999.99,7507.77
2024-06-17,Headset,Asia,1,799.99,1926.76
2024-06-18,Mouse,Asia,47,499.99,2172.56
2024-06-19,Webcam,South America,34,49.99,3767.67
2024-06-20,Keyboard,South America,32,29.99,4896.78
2024-06-21,Tablet,North America,48,49.99,6220.72
2024-06-22,Monitor,South America,25,99.99,3752.25
2024-06-23,Webcam,Europe,40,49.99,4679.09
2024-06-24,Mouse,South America,45,49.99,7499.96
2024-06-25,Tablet,South America,1,499.99,463.16
2024-06-26,Tablet,Europe,16,499.99,2599.13
2024-06-27,Laptop,North America,39,499.99,7162.16
2024-06-28,Tablet,Europe,5,799.99,8962.55
2024-06-29,Keyboard,South America,22,99.99,5165.61
2024-06-30,Headset,North America,29,499.99,5367.92
2024-07-01,Mouse,South America,3,29.99,1161.0
2024-07-02,Tablet,Europe,12,799.99,4529.38
2024-07-03,Laptop,Europe,26,199.99,5372.91
2024-07-04,Keyboard,South America,16,29.99,2500.46
2024-07-05,Phone,Asia,37,999.99,2765.51
2024-07-06,Headset,Asia,22,999.99,3835.11
2024-07-07,Headset,Europe,29,29.99,298.7
2024-07-08,Mouse,Europe,14,499.99,3288.58
2024-07-09,Headset,Asia,28,199.99,2193.34
2024-07-10,Tablet,Asia,5,199.99,3342.22
2024-07-11,Laptop,South America,47,799.99,1285.65
2024-07-12,Headset,South America,49,199.99,8916.22
2024-07-13,Headset,Asia,30,999.99,5976.57
2024-07-14,Phone,South America,46,99.99,6823.11
2024-07-15,Phone,South America,5,499.99,7912.8
2024-07-16,Monitor,North America,12,199.99,5034.58
2024-07-17,Keyboard,South America,16,799.99,960.51
2024-07-18,Tablet,Europe,26,999.99,5417.35
